,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2021-02-02,4144.0,338.0,18.983969174138704,1.5484028911339,2021-02-02
2021-02-03,3601.0,339.0,16.496446186311164,1.552983964776308,2021-02-03
2021-02-04,3325.0,280.0,15.232069861006561,1.2827006198742368,2021-02-04
2021-02-05,3709.0,277.0,16.99120213969123,1.2689573989470126,2021-02-05
2021-02-06,2772.0,289.0,12.698736136754944,1.3239302826559085,2021-02-06
2021-02-07,2170.0,286.0,9.940929804025334,1.3101870617286846,2021-02-07
2021-02-08,4079.0,297.0,18.686199387382185,1.3605788717951726,2021-02-08
2021-02-09,3099.0,282.0,14.196747217822356,1.2918627671590526,2021-02-09
2021-02-10,3801.0,230.0,17.412660914792763,1.0536469377538373,2021-02-10
2021-02-11,2679.0,248.0,12.272696288011,1.136106263317181,2021-02-11
2021-02-12,2934.0,234.0,13.440870066825038,1.0719712323234691,2021-02-12
2021-02-13,2351.0,219.0,10.77010413330118,1.0032551276873494,2021-02-13
2021-02-14,2029.0,244.0,9.294998420445808,1.1177819687475492,2021-02-14
2021-02-15,3596.0,239.0,16.473540818099124,1.0948766005355093,2021-02-15
2021-02-16,2780.0,243.0,12.735384725894207,1.113200895105141,2021-02-16
2021-02-17,2664.0,217.0,12.203980183374881,0.9940929804025335,2021-02-17
2021-02-18,2712.0,179.0,12.423871718210464,0.8200121819910299,2021-02-18
2021-02-19,2537.0,192.0,11.622183830789066,0.8795661393423337,2021-02-19
2021-02-20,2952.0,188.0,13.523329392388382,0.8612418447727018,2021-02-20
2021-02-21,1806.0,228.0,8.273418998188827,1.0444847904690213,2021-02-21
2021-02-22,3262.0,214.0,14.943462221534858,0.9803497594753094,2021-02-22
2021-02-23,2720.0,162.0,12.460520307349729,0.7421339300700941,2021-02-23
2021-02-24,2338.0,190.0,10.710550175949876,0.8704039920575177,2021-02-24
2021-02-25,2763.0,166.0,12.657506473973271,0.760458224639726,2021-02-25
2021-02-26,2722.0,176.0,12.469682454634544,0.806268961063806,2021-02-26
2021-02-27,2146.0,165.0,9.830984036607543,0.755877150997318,2021-02-27
2021-02-28,2304.0,192.0,10.554793672108005,0.8795661393423337,2021-02-28
2021-03-01,3763.0,184.0,17.23858011638126,0.8429175502030698,2021-03-01
2021-03-02,2739.0,173.0,12.54756070655548,0.792525740136582,2021-03-02
2021-03-03,2528.0,162.0,11.580954168007395,0.7421339300700941,2021-03-03
2021-03-04,2241.0,180.0,10.266186032636302,0.8245932556334379,2021-03-04
2021-03-05,2345.0,170.0,10.742617691446732,0.778782519209358,2021-03-05
2021-03-06,1874.0,153.0,8.58493200587257,0.7009042672884221,2021-03-06
2021-03-07,1544.0,150.0,7.073177703877934,0.6871610463611982,2021-03-07
2021-03-08,2335.0,181.0,10.696806955022652,0.8291743292758459,2021-03-08
2021-03-09,2124.0,138.0,9.730200416474567,0.6321881626523024,2021-03-09
2021-03-10,2363.0,168.0,10.825077017010075,0.769620371924542,2021-03-10
2021-03-11,1821.0,166.0,8.342135102824946,0.760458224639726,2021-03-11
2021-03-12,1848.0,113.0,8.465824091169962,0.5176613215921027,2021-03-12
2021-03-13,1460.0,136.0,6.688367517915663,0.6230260153674864,2021-03-13
2021-03-14,1225.0,148.0,5.611815211949786,0.6779988990763822,2021-03-14
2021-03-15,1814.0,125.0,8.31006758732809,0.5726342053009985,2021-03-15
2021-03-16,2165.0,119.0,9.918024435813294,0.5451477634465506,2021-03-16
2021-03-17,1963.0,123.0,8.992647560046882,0.5634720580161825,2021-03-17
2021-03-18,1849.0,100.0,8.47040516481237,0.45810736424079884,2021-03-18
2021-03-19,1695.0,131.0,7.76491982388154,0.6001206471554464,2021-03-19
2021-03-20,2041.0,100.0,9.349971304154703,0.45810736424079884,2021-03-20
2021-03-21,1189.0,110.0,5.446896560823098,0.5039181006648787,2021-03-21
2021-03-22,2120.0,119.0,9.711876121904934,0.5451477634465506,2021-03-22
2021-03-23,1794.0,116.0,8.218446114479931,0.5314045425193267,2021-03-23
2021-03-24,1511.0,119.0,6.92200227367847,0.5451477634465506,2021-03-24
